ms,degC
838,29.80
2862,30.20
4886,30.50
6908,30.80
8931,31.30
10953,31.80
12978,31.80
15000,32.30
17022,32.80
19045,32.80
21069,33.30
23092,33.30
25114,33.80
27137,33.80
29160,34.20
31184,34.20
-32329,34.70
-30307,34.70
-28283,34.70
-26260,35.20
-24238,35.20
-22215,35.20
-20191,35.60
-18168,35.60
-16146,35.60
-14121,35.60
-12099,36.30
-10077,36.30
-8054,36.30
-6030,36.30
-4006,36.80
-1983,36.90
40,36.90
2064,36.90
4087,36.90
6111,36.90
8134,36.90
10157,37.40
12179,37.40
14202,37.40
16227,37.40
18249,37.40
20272,37.40
22296,37.40
24318,37.40
26341,37.50
28363,38.00
30388,38.00
32411,38.00
-31102,38.00
-29080,38.00
-27058,38.00
-25033,38.00
-23010,38.00
-20987,38.00
