ms,degC
6068,29.40
8090,29.80
10113,30.20
12137,30.80
14159,31.30
16182,31.80
18206,32.30
20229,32.80
22251,32.80
24273,33.30
26296,33.40
28320,33.80
30343,34.10
32365,34.20
-31146,34.20
-29123,34.70
-27101,34.70
-25078,35.20
-23056,35.20
-21031,35.20
-19009,35.20
-16987,35.60
-14963,35.60
-12939,35.60
-10916,35.60
-8894,36.30
-6872,36.30
-4849,36.30
-2827,36.30
-804,36.30
1218,36.80
3241,36.90
5266,36.90
7288,36.90
9311,36.90
11333,36.90
13356,36.90
15379,36.90
17403,37.40
19426,37.40
21448,37.40
23471,37.40
25493,37.40
27517,37.40
29541,37.40
31563,37.40
-31950,37.40
-29928,37.40
-27904,37.40
-25880,37.50
-23858,37.80
-21835,38.00
-19813,38.00
-17790,38.00
-15768,38.00
-13745,38.00
-11720,38.00
-9697,38.00
-7673,38.00
-5650,38.00
-3628,38.00
-1605,38.00
417,38.00
2440,38.00
4462,38.00
6484,38.00
