ms,degC
-19016,26.20
-16994,26.20
-14969,26.70
-12947,26.70
-10925,27.10
-8902,27.10
-6878,27.60
-4855,27.60
-2833,28.00
-810,28.50
1212,28.50
3236,28.90
5259,29.30
7281,29.30
9304,29.80
11328,29.80
13350,30.20
15373,30.20
17397,30.80
19420,30.80
21442,31.30
23465,31.30
25488,31.80
27512,31.80
29535,31.80
31557,32.30
-31955,32.30
-29931,32.80
-27908,32.80
-25884,32.80
-23861,33.30
-21838,33.30
-19816,33.30
-17794,33.30
-15771,33.80
-13748,33.80
-11723,33.80
-9700,33.80
-7677,34.20
-5655,34.20
-3633,34.20
-1610,34.20
412,34.70
2437,34.70
4459,34.70
6481,34.70
8504,34.70
10528,34.70
12552,35.20
14574,35.20
16596,35.20
18619,35.20
20641,35.20
22666,35.20
24689,35.60
26712,35.60
28734,35.60
30756,35.60
-32755,35.60
-30733,35.60
-28710,35.60
-26688,35.60
-24664,35.90
-22640,36.30
-20618,36.30
-18595,36.30
-16572,36.30
-14547,36.30
-12525,36.30
-10503,36.30
-8480,36.30
-6456,36.30
-4432,36.70
-2410,36.90
-388,36.90
1635,36.90
3658,36.90
5683,36.90
7705,36.90
9728,36.90
11750,36.90
13772,36.90
15797,36.90
17819,36.90
19842,36.90
21864,36.90
23887,37.20
25912,37.40
27934,37.40
29957,37.40
31979,37.40
-31535,37.40
-29510,37.40
-27487,37.40
-25464,37.40
-23442,37.40
-21420,37.40
-19396,37.40
-17372,37.40
-15349,37.40
-13327,37.40
-11304,37.40
-9282,37.40
-7259,37.40
-5234,37.50
-3212,37.50
-1189,37.40
