ms,degC
14577,23.40
16600,23.40
18622,23.40
20646,23.40
22669,23.40
24691,23.40
26714,23.80
28737,24.10
30761,24.80
-32752,25.30
-30730,25.80
-28706,26.20
-26682,27.10
-24659,27.60
-22637,28.00
-20615,28.50
-18592,28.90
-16568,29.30
-14545,29.80
-12523,30.20
-10500,30.20
-8476,30.80
-6454,31.30
-4431,31.30
-2407,31.80
-383,32.30
1639,32.30
3661,32.80
5684,32.80
7706,33.30
9731,33.30
11753,33.30
13775,33.80
15798,33.80
17820,33.80
19845,34.20
21868,34.20
23890,34.20
25913,34.70
27935,34.70
29959,34.70
31981,34.70
-31533,35.20
-29508,35.20
-27486,35.20
-25463,35.20
-23441,35.20
-21416,35.30
-19394,35.60
-17372,35.60
-15347,35.60
-13325,35.60
-11302,35.60
-9279,35.60
-7257,35.70
-5234,36.30
-3212,36.30
-1189,36.30
835,36.30
2859,36.30
4881,36.30
6903,36.30
8926,36.30
10950,36.40
12973,36.90
14995,36.90
17018,36.90
19041,36.90
21063,36.90
23086,36.90
25110,36.90
27132,36.90
29155,36.90
31179,36.90
-32334,36.90
-30312,36.90
-28287,36.90
-26265,36.90
-24243,37.10
-22220,37.40
-20196,37.40
-18173,37.40
-16151,37.40
-14127,37.40
-12104,37.40
-10082,37.40
-8059,37.40
-6035,37.40
-4013,37.40
-1990,37.40
32,37.40
2055,37.40
4079,37.40
6102,37.40
8124,37.40
10146,37.40
12171,37.40
14193,37.40
16216,37.40
18238,37.40
20262,37.40
22285,37.50
24307,37.70
