ms,degC
12170,27.60
14194,27.60
16217,27.60
18239,27.70
20263,28.00
22287,28.50
24309,28.50
26332,28.90
28354,28.90
30379,29.30
32402,29.40
-31112,29.80
-29089,29.80
-27067,30.20
-25043,30.30
-23021,30.80
-20999,30.80
-18974,31.30
-16952,31.30
-14928,31.80
-12906,31.80
-10884,31.80
-8860,32.30
-6836,32.30
-4812,32.30
-2789,32.80
-766,32.80
1256,32.80
3278,33.30
5301,33.30
7323,33.30
9348,33.30
11371,33.80
13393,33.80
15416,33.80
17438,33.80
19463,33.80
21485,34.20
23507,34.20
25530,34.20
27554,34.20
29578,34.20
31601,34.20
-31912,34.70
-29890,34.70
-27867,34.70
-25844,34.70
-23821,34.70
-21798,34.70
-19776,34.70
-17752,34.70
-15728,34.90
-13706,35.20
-11683,35.20
-9661,35.20
-7636,35.20
-5614,35.20
-3592,35.20
-1569,35.20
453,35.20
2478,35.20
4500,35.20
6522,35.30
8545,35.60
10568,35.60
12591,35.60
14613,35.60
16636,35.60
18659,35.60
20682,35.60
22705,35.60
24727,35.60
26752,35.60
28774,35.60
30796,35.60
-32715,35.60
-30693,35.70
-28670,36.30
-26646,36.30
-24624,36.30
-22601,36.30
-20579,36.30
-18555,36.30
-16533,36.30
-14511,36.30
-12486,36.30
-10464,36.30
-8441,36.30
-6417,36.30
-4394,36.30
-2372,36.30
-350,36.30
1675,36.30
3697,36.40
5720,36.80
7742,36.90
9764,36.90
11787,36.90
13811,36.90
15835,36.90
17857,36.90
