ms,degC
25147,27.10
27170,27.10
29193,27.10
31215,27.60
-32298,27.60
-30274,28.00
-28251,28.50
-26228,28.90
-24206,29.30
-22183,29.80
-20159,30.20
-18137,30.80
-16114,30.80
-14091,31.30
-12068,31.80
-10046,31.80
-8024,32.30
-6000,32.30
-3976,32.80
-1953,32.80
69,33.30
2092,33.30
4114,33.80
6138,33.80
8162,33.80
10185,34.20
12208,34.20
14230,34.20
16252,34.70
18277,34.70
20299,34.70
22322,34.70
24345,34.70
26369,35.20
28391,35.20
30413,35.20
32436,35.20
-31076,35.20
-29053,35.60
-27031,35.60
-25007,35.60
-22984,35.60
-20962,35.60
-18937,35.60
-16915,35.60
-14893,35.60
-12868,36.30
-10846,36.30
-8823,36.30
-6801,36.30
-4776,36.30
-2753,36.30
-731,36.30
1292,36.30
3314,36.30
5339,36.40
7362,36.90
9384,36.90
11407,36.90
13429,36.90
15452,36.90
17474,36.90
19497,36.90
21521,36.90
23545,36.90
25568,36.90
27590,36.90
29613,36.90
31635,36.90
-31878,36.90
-29853,37.10
-27831,37.40
-25808,37.40
-23785,37.40
-21763,37.40
-19739,37.40
-17717,37.40
-15694,37.40
-13671,37.40
-11646,37.40
-9623,37.40
-7601,37.40
-5578,37.40
-3556,37.40
-1533,37.40
489,37.40
2511,37.40
4534,37.40
6556,37.40
8579,37.40
