ms,degC

-8411,26.70
-6388,27.10
-6388,27.10

-2342,28.00
-2342,28.00
-2342,28.00

-318,28.90
1704,29.30
3727,29.80
5749,30.80
7774,31.30
7774,31.30
7774,31.30
7774,31.30
7774,31.30
9796,31.80
11819,32.30
11819,32.30
11819,32.30
11819,32.30
11819,32.30
13842,32.80
15866,33.30
17889,33.40
17889,33.40
17889,33.40
17889,33.40
19911,33.80
19911,33.80
19911,33.80
19911,33.80
21936,34.20
21936,34.20
21936,34.20
21936,34.20
21936,34.20
21936,34.20
21936,34.20
21936,34.20
23958,34.40
25980,34.70
28003,35.10
30027,35.20
32050,35.20
32050,35.20
32050,35.20
30027,35.20
32050,35.20
32050,35.20
32050,35.20
-31464,35.60
-29442,35.60
-27418,35.60
-25394,36.30
-23370,36.30
-21347,36.30
-19324,36.90
-17302,36.90
-15280,36.90
-13256,36.90
-11232,36.90
-19324,36.90
-17302,36.90
-15280,36.90
-13256,36.90
-11232,36.90
-17302,36.90
-15280,36.90
-13256,36.90
-11232,36.90
-19324,36.90
-17302,36.90
-15280,36.90
-13256,36.90
-11232,36.90
-19324,36.90
-17302,36.90
-15280,36.90
-13256,36.90
-11232,36.90
-17302,36.90
-15280,36.90
-13256,36.90
-11232,36.90
-19324,36.90
-17302,36.90
-15280,36.90
-13256,36.90
-11232,36.90
-19324,36.90
-17302,36.90
-15280,36.90
-13256,36.90
-11232,36.90
-17302,36.90
-15280,36.90
-13256,36.90
-11232,36.90
-9209,37.30
-9209,37.30
-9209,37.30
-9209,37.30


